Rank,Stadium,Capacity,Region,Country,City,Image,Home_Team
62,Prince Moulay Abdellah Stadium,"68,700",Africa,Morocco,Rabat,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Prince_Moulay_Abdellah_Stadium%2C_2025.jpg/250px-Prince_Moulay_Abdellah_Stadium%2C_2025.jpg,"Morocco national team, AS FAR"
63,Olympiastadion (Munich),"69,250",Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/M%C3%BCnchener_Olympiastadion.jpg/250px-M%C3%BCnchener_Olympiastadion.jpg,
64,Lumen Field,"69,000",North America,United States,Seattle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Qwest_Field_North.jpg/250px-Qwest_Field_North.jpg,"Seattle Sounders FC, Seattle Seahawks"
65,Estadio Olímpico Universitario,"68,954",North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Estadio_Pumas.jpg/250px-Estadio_Pumas.jpg,UNAM Pumas
66,Gillette Stadium,"68,756",North America,United States,"Foxborough, Massachusetts",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Stadiumguillete_%28cropped%29.jpg/250px-Stadiumguillete_%28cropped%29.jpg,"New England Patriots, New England Revolution"
67,King Abdullah Sports City,"68,560",West Asia,Saudi Arabia,Jeddah,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jawhara_Stadium.jpg/250px-Jawhara_Stadium.jpg,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Saudi Club"
68,Lincoln Financial Field,"68,532",North America,United States,Philadelphia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/USA-Turkey-Linc.jpg/250px-USA-Turkey-Linc.jpg,"Philadelphia Eagles, Temple Owls football"
69,Levi's Stadium,"68,500",North America,United States,"Santa Clara, California",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Entering_Levi%27s_Stadium.JPG/250px-Entering_Levi%27s_Stadium.JPG,San Francisco 49ers
70,Acrisure Stadium,"68,400",North America,United States,Pittsburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Heinz_Field_NHL_Winter_Classic.jpg/250px-Heinz_Field_NHL_Winter_Classic.jpg,"Pittsburgh Steelers, Pittsburgh Panthers football"
71,Krestovsky Stadium,"68,134",Europe,Russia,Saint Petersburg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Fina-l2017.jpg/250px-Fina-l2017.jpg,FC Zenit Saint Petersburg
72,Salt Lake Stadium,"68,000",South Asia,India,Kolkata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg/250px-Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC"
73,Japan National Stadium (2019),"68,000",East Asia,Japan,Tokyo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg/250px-Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg,
74,TIAA Bank Field,"67,814",North America,United States,"Jacksonville, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/2009_Gator_Bowl.jpg/250px-2009_Gator_Bowl.jpg,Jacksonville Jaguars
75,Stade Vélodrome,"67,394",Europe,France,Marseille,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stade_V%C3%A9lodrome_1.jpg/250px-Stade_V%C3%A9lodrome_1.jpg,Olympique de Marseille
76,Puskás Aréna,"67,215",Europe,Hungary,Budapest,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pusk%C3%A1s_Ar%C3%A9na_01.jpg/250px-Pusk%C3%A1s_Ar%C3%A9na_01.jpg,Hungary national football team
77,Murrayfield Stadium,"67,144",Europe,Scotland,Edinburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg/250px-Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg,Scotland national rugby union team
78,Stade Mohammed V,"67,000",Africa,Morocco,Casablanca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/250px-Stade_Mohamed_V%2C_Casablanca.jpg,"Wydad, Raja, Morocco national team"
79,Lucas Oil Stadium,"67,000",North America,United States,Indianapolis,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/LucasOilStadiumTheLuke.jpg/250px-LucasOilStadiumTheLuke.jpg,Indianapolis Colts
80,Estádio do Morumbi,"66,975",South America,Brazil,São Paulo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estadio_Morumbi_2014.jpg/250px-Estadio_Morumbi_2014.jpg,São Paulo FC
